"DestAirportID.x","name.x","airport_id","state.x","city.x","id","type","latitude_deg","longitude_deg","iso_country","iso_region","municipality","ave_departure_delay","name.y","state.y","city.y","OriginAirportID.y","DestAirportID.y.x","ave_arrival_delay.x","name.x.1","state.x.1","city.x.1","OriginAirportID.y.1","DestAirportID.y.y","ave_arrival_delay.y","name.y.1","state.y.1","city.y.1","OriginAirportID","DestAirportID.y"
10140,"Albuquerque International Sunport",10140,"NM","Albuquerque",16091,"medium_airport",35.040199,-106.609001,"US","US-NM","Albuquerque",9.23717985283213,"Albuquerque International Sunport","NM","Albuquerque",10140,10140,8.5666628649635,"Albuquerque International Sunport","NM","Albuquerque",10140,10140,8.5666628649635,"Albuquerque International Sunport","NM","Albuquerque",10140,10140
10299,"Ted Stevens Anchorage International",10299,"AK","Anchorage",5388,"large_airport",61.1744,-149.996002,"US","US-AK","Anchorage",1.6555957611786,"Ted Stevens Anchorage International","AK","Anchorage",10299,10299,-1.46897174558122,"Ted Stevens Anchorage International","AK","Anchorage",10299,10299,-1.46897174558122,"Ted Stevens Anchorage International","AK","Anchorage",10299,10299
10397,"Hartsfield-Jackson Atlanta International",10397,"GA","Atlanta",NA,NA,33.6367,-84.4281,"US",NA,NA,10.8532342973491,"Hartsfield-Jackson Atlanta International","GA","Atlanta",10397,10397,7.1618654405555,"Hartsfield-Jackson Atlanta International","GA","Atlanta",10397,10397,7.1618654405555,"Hartsfield-Jackson Atlanta International","GA","Atlanta",10397,10397
10423,"Austin - Bergstrom International",10423,"TX","Austin",NA,NA,30.19753,-97.66201,"US",NA,NA,10.0472131633561,"Austin - Bergstrom International","TX","Austin",10423,10423,8.70517043561938,"Austin - Bergstrom International","TX","Austin",10423,10423,8.70517043561938,"Austin - Bergstrom International","TX","Austin",10423,10423
10529,"Bradley International",10529,"CT","Hartford",3396,"medium_airport",41.93851,-72.688066,"US","US-CT","Hartford",7.6966966966967,"Bradley International","CT","Hartford",10529,10529,8.53279507881584,"Bradley International","CT","Hartford",10529,10529,8.53279507881584,"Bradley International","CT","Hartford",10529,10529
10693,"Nashville International",10693,"TN","Nashville",3420,"large_airport",36.12450027,-86.67819977,"US","US-TN","Nashville",10.8395104692303,"Nashville International","TN","Nashville",10693,10693,7.66050935160293,"Nashville International","TN","Nashville",10693,10693,7.66050935160293,"Nashville International","TN","Nashville",10693,10693
10721,"Logan International",10721,"MA","Boston",3422,"large_airport",42.3643,-71.005203,"US","US-MA","Boston",9.47191213539791,"Logan International","MA","Boston",10721,10721,5.92160565998141,"Logan International","MA","Boston",10721,10721,5.92160565998141,"Logan International","MA","Boston",10721,10721
10792,"Buffalo Niagara International",10792,"NY","Buffalo",3431,"large_airport",42.94049835,-78.73220062,"US","US-NY","Buffalo",8.86984711984712,"Buffalo Niagara International","NY","Buffalo",10792,10792,8.09950993738089,"Buffalo Niagara International","NY","Buffalo",10792,10792,8.09950993738089,"Buffalo Niagara International","NY","Buffalo",10792,10792
10800,"Bob Hope",10800,"CA","Burbank",3432,"medium_airport",34.197703,-118.356378,"US","US-CA","Burbank",6.09198246606335,"Bob Hope","CA","Burbank",10800,10800,4.41893800310691,"Bob Hope","CA","Burbank",10800,10800,4.41893800310691,"Bob Hope","CA","Burbank",10800,10800
10821,"Baltimore/Washington International Thurgood Marshall",10821,"MD","Baltimore",3435,"large_airport",39.1754,-76.668297,"US","US-MD","Baltimore",13.7199713367161,"Baltimore/Washington International Thurgood Marshall","MD","Baltimore",10821,10821,6.31590979541228,"Baltimore/Washington International Thurgood Marshall","MD","Baltimore",10821,10821,6.31590979541228,"Baltimore/Washington International Thurgood Marshall","MD","Baltimore",10821,10821
11042,"Cleveland-Hopkins International",11042,"OH","Cleveland",NA,NA,41.4117,-81.8498,"US",NA,NA,8.83700847491666,"Cleveland-Hopkins International","OH","Cleveland",11042,11042,7.64512471655329,"Cleveland-Hopkins International","OH","Cleveland",11042,11042,7.64512471655329,"Cleveland-Hopkins International","OH","Cleveland",11042,11042
11057,"Charlotte Douglas International",11057,"NC","Charlotte",3457,"large_airport",35.2140007,-80.94309998,"US","US-NC","Charlotte",9.47946804464438,"Charlotte Douglas International","NC","Charlotte",11057,11057,5.16098278420507,"Charlotte Douglas International","NC","Charlotte",11057,11057,5.16098278420507,"Charlotte Douglas International","NC","Charlotte",11057,11057
11066,"Port Columbus International",11066,"OH","Columbus",NA,NA,39.998,-82.8919,NA,NA,NA,10.9121744753395,"Port Columbus International","OH","Columbus",11066,11066,9.10990041007616,"Port Columbus International","OH","Columbus",11066,11066,9.10990041007616,"Port Columbus International","OH","Columbus",11066,11066
11193,"Cincinnati/Northern Kentucky International",11193,"OH","Cincinnati",NA,NA,39.0488,-84.6678,"US",NA,NA,9.55036291862982,"Cincinnati/Northern Kentucky International","OH","Cincinnati",11193,11193,4.74126586577238,"Cincinnati/Northern Kentucky International","OH","Cincinnati",11193,11193,4.74126586577238,"Cincinnati/Northern Kentucky International","OH","Cincinnati",11193,11193
11259,"Dallas Love Field",11259,"TX","Dallas",3479,"medium_airport",32.847099,-96.851799,"US","US-TX","Dallas",11.6595260271137,"Dallas Love Field","TX","Dallas",11259,11259,9.14159933706236,"Dallas Love Field","TX","Dallas",11259,11259,9.14159933706236,"Dallas Love Field","TX","Dallas",11259,11259
11278,"Ronald Reagan Washington National",11278,"DC","Washington",3483,"large_airport",38.8521,-77.037697,"US","US-DC","Washington",8.27489405539557,"Ronald Reagan Washington National","DC","Washington",11278,11278,6.18776504767929,"Ronald Reagan Washington National","DC","Washington",11278,11278,6.18776504767929,"Ronald Reagan Washington National","DC","Washington",11278,11278
11292,"Denver International",11292,"CO","Denver",3486,"large_airport",39.86169815,-104.6729965,"US","US-CO","Denver",14.4908759312114,"Denver International","CO","Denver",11292,11292,8.01651192125561,"Denver International","CO","Denver",11292,11292,8.01651192125561,"Denver International","CO","Denver",11292,11292
11298,"Dallas/Fort Worth International",11298,"TX","Dallas/Fort Worth",NA,NA,32.8968,-97.038,NA,NA,NA,14.2725781867994,"Dallas/Fort Worth International","TX","Dallas/Fort Worth",11298,11298,5.59717314487632,"Dallas/Fort Worth International","TX","Dallas/Fort Worth",11298,11298,5.59717314487632,"Dallas/Fort Worth International","TX","Dallas/Fort Worth",11298,11298
